Sample,CellID,Counts Pre-Pool ,Pre-Percentage,Counts Post-Sample,Post-Percentage,post/pre
Tram1000,A829P#28,2032,1.612.711.211.993.740,2727,12.054.264.079.884.300,0.747453356201452
IM100Tram30,T1parental#4,899,0.71349772617243,572,0.255508851237565,0.358107449911924
IM100Tram30,T1parental#6,9520,7.555.615.520.758.100,5601,25.019.319.506.671.300,0.3311354242144
IM100Tram30,T1parental#9,12233,9.708.807.212.755.650,7601,33.953.195.424.068.700,0.349715414880834
IM100Tram30,TSC2#18,8408,6.673.068.833.879.630,20427,9.124.614.168.233.810,13.673.789.968.878.300
IM100Tram30,TSC2#19,1,0.000793657092516607,2,0.000893387591739738,1.125.659.431.716.150
IM100Tram30,TSC2#20,13886,11.020.722.386.685.600,40464,18.075.017.756.078.300,16.400.937.363.158.000
IM100Tram30,PTEN#15,8003,6.351.637.711.410.400,9959,4.448.623.513.068.020,0.700389996280218
IM100Tram30,PTEN#16,6551,5.199.247.613.076.290,7408,3.309.107.639.803.990,0.636458942921177
IM100Tram30,PTEN#17,4211,3.342.090.016.587.430,4865,2.173.165.316.906.910,0.650241407658405
IM100Tram30,Hom#25,110,0.0873022801768268,40,0.0178677518347948,0.204665351221119
IM100Tram30,Hom#26,2416,19.174.755.355.201.200,1693,0.756252596407689,0.394400127875713
IM100Tram30,Hom#27,25,0.0198414273129152,29,0.0129541200802262,0.652882470395369
IM100Tram30,V654A#29,6680,53.016.293.780.109.300,15077,67.348.023.603.300.100,12.703.268.901.185.900
IM100Tram30,V654A#30,4274,33.920.904.134.159.700,9160,4.091.715.170.168.000,12.062.518.009.499.200
IM100Tram30,V654A#39,2005,15.912.824.704.957.900,3861,1.724.684.745.853.560,10.838.331.835.052.500
IM100Tram30,D816E#24,3019,23.960.507.623.076.300,7574,3.383.258.809.918.380,1.412.014.663.103.360
IM100Tram30,D816E#34,2180,17.301.724.616.862.000,5144,22.977.928.859.546.000,1.328.071.586.410.060
IM100Tram30,D816E#36,18389,1.459.456.027.428.780,42622,19.038.982.967.565.500,13.045.259.747.296.100
IM100Tram30,D816A#10,4592,36.444.733.688.362.600,6547,29.245.042.815.600.300,0.802449074416992
IM100Tram30,D816A#11,4485,3.559.552.059.936.980,4949,22.106.875.957.599.800,0.621057806863237
IM100Tram30,D816A#13,4501,35.722.505.734.172.400,6762,3.020.543.447.672.050,0.845557551351325
IM100Tram30,A829P#21,948,0.752386923705744,1823,0.814322789870772,10.823.191.687.861.500
IM100Tram30,A829P#22,6631,5.262.740.180.477.620,18075,8.073.990.360.347.880,1.534.179.929.744.340
IM100Tram30,A829P#28,2032,1.612.711.211.993.740,3612,16.134.579.906.819.600,10.004.630.579.130.700
IM100Tram100,T1parental#4,899,0.71349772617243,675,0.332327325183518,0.465772087272504
IM100Tram100,T1parental#6,9520,7.555.615.520.758.100,4730,2.328.752.960.174.870,0.308214857383482
IM100Tram100,T1parental#9,12233,9.708.807.212.755.650,5841,2.875.739.120.588.040,0.296199013696537
IM100Tram100,TSC2#18,8408,6.673.068.833.879.630,19266,9.485.360.365.904.690,14.214.390.113.506.400
IM100Tram100,TSC2#19,1,0.000793657092516607,3,0.00147701033414897,18.610.182.509.243.600
IM100Tram100,TSC2#20,13886,11.020.722.386.685.600,37211,1.832.034.384.800.570,16.623.541.729.114.800
IM100Tram100,PTEN#15,8003,6.351.637.711.410.400,10088,4.966.693.416.964.940,0.781954771765795
IM100Tram100,PTEN#16,6551,5.199.247.613.076.290,7677,3.779.669.445.087.210,0.726964693041588
IM100Tram100,PTEN#17,4211,3.342.090.016.587.430,4889,24.070.345.078.847.700,0.720218335214851
IM100Tram100,Hom#25,110,0.0873022801768268,28,0.0137854297853904,0.15790457886631
IM100Tram100,Hom#26,2416,19.174.755.355.201.200,1156,0.569141315425404,0.296818032294228
IM100Tram100,Hom#27,25,0.0198414273129152,22,0.0108314091170925,0.545898686937813
IM100Tram100,V654A#29,6680,53.016.293.780.109.300,14272,7.026.630.496.324.700,1.325.371.880.099.420
IM100Tram100,V654A#30,4274,33.920.904.134.159.700,8595,4.231.634.607.336.800,1.247.500.535.540.070
